typeIndex,namespace,typeName,fullName,fieldStart,fieldCount,methodStart,methodCount,fields,methods,flags,bitfield,token,metadataConfidence,evidence
2867,System.Xml,ConformanceLevel,System.Xml.ConformanceLevel,11560,4,4294967295,0,value__;Auto;Fragment;Document,,257,3091,33554462,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
2979,System.Xml,XmlAttributeCollection,System.Xml.XmlAttributeCollection,4294967295,0,22834,24,,.ctor;get_ItemOf;get_ItemOf;get_ItemOf;FindNodeOffsetNS;SetNamedItem;Append;Remove;RemoveAt;RemoveAll;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.get_Count;AddNode;InsertNodeAt;RemoveNodeAt;Detach;InsertParentIntoElementIdAttrMap;RemoveParentFromElementIdAttrMap;RemoveDuplicateAttribute;PrepareParentInElementIdAttrMap;ResetParentInElementIdAttrMap;InternalAppendAttribute,1048833,3072,33554574,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3032,System.Xml,XmlCharType,System.Xml.XmlCharType,12695,3,23598,28,s_Lock;s_CharProperties;charProperties,get_StaticLock;InitInstance;SetProperties;.ctor;get_Instance;IsWhiteSpace;IsNCNameSingleChar;IsStartNCNameSingleChar;IsNameSingleChar;IsCharData;IsPubidChar;IsTextChar;IsLetter;IsNCNameCharXml4e;IsStartNCNameCharXml4e;IsNameCharXml4e;IsDigit;IsHighSurrogate;IsLowSurrogate;IsSurrogate;CombineSurrogateChar;SplitSurrogateChar;IsOnlyWhitespace;IsOnlyWhitespaceWithPos;IsOnlyCharData;IsOnlyDigits;IsPublicId;InRange,1048840,3073,33554627,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3124,System.Xml.Serialization,XmlSerializationCollectionFixupCallback,System.Xml.Serialization.XmlSerializationCollectionFixupCallback,4294967295,0,24199,2,,.ctor;Invoke,257,3072,33554719,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3129,,CollectionFixup,CollectionFixup,12991,4,24258,6,callback;collection;collectionItems;id,.ctor;get_Callback;get_Collection;get_Id;get_CollectionItems;set_CollectionItems,1048580,3072,33554725,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3131,,CollectionItemFixup,CollectionItemFixup,12998,3,24268,4,list;index;id,.ctor;get_Collection;get_Index;get_Id,1048579,3072,33554727,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3306,System.Xml.Schema,SchemaCollectionCompiler,System.Xml.Schema.SchemaCollectionCompiler,13588,4,25567,65,compileContentModel;examplars;complexTypeStack;schema,.ctor;Execute;Prepare;Cleanup;Cleanup;Compile;Output;CleanupAttribute;CleanupAttributeGroup;CleanupComplexType;CleanupSimpleType;CleanupElement;CleanupAttributes;CleanupGroup;CleanupParticle;CompileSubstitutionGroup;CheckSubstitutionGroup;CompileGroup;CompileSimpleType;CompileBaseMemberTypes;CheckUnionType;CompileComplexType;CompileSimpleContentExtension;CompileSimpleContentRestriction;CompileComplexContentExtension;CompileComplexContentRestriction;CheckParticleDerivation;CompileContentTypeParticle;CannonicalizeParticle;CannonicalizeElement;CannonicalizeGroupRef;CannonicalizeAll;CannonicalizeChoice;CannonicalizeSequence;IsValidRestriction;IsElementFromElement;IsElementFromAny;IsAnyFromAny;IsGroupBaseFromAny;IsElementFromGroupBase;IsGroupBaseFromGroupBase;IsSequenceFromAll;IsSequenceFromChoice;CalculateSequenceRange;IsValidOccurrenceRangeRestriction;IsValidOccurrenceRangeRestriction;GetMappingParticle;IsParticleEmptiable;CalculateEffectiveTotalRange;PushComplexType;GetSchemaContentType;CompileAttributeGroup;CompileLocalAttributes;CompileAnyAttributeUnion;CompileAnyAttributeIntersection;CompileAttribute;CompileIdentityConstraint;CompileElement;CompileComplexContent;BuildParticleContentModel;CompileParticleElements;CompileCompexTypeElements;GetSimpleType;GetComplexType;GetAnySchemaType,1048832,3072,33554901,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3308,System.Xml.Schema,SchemaCollectionPreprocessor,System.Xml.Schema.SchemaCollectionPreprocessor,13592,11,25632,34,schema;targetNamespace;buildinIncluded;elementFormDefault;attributeFormDefault;blockDefault;finalDefault;schemaLocations;referenceNamespaces;Xmlns;xmlResolver,.ctor;Execute;Cleanup;set_XmlResolver;LoadExternals;BuildRefNamespaces;Preprocess;PreprocessRedefine;CountGroupSelfReference;CheckRefinedGroup;CheckRefinedAttributeGroup;CheckRefinedSimpleType;CheckRefinedComplexType;PreprocessAttribute;PreprocessLocalAttribute;PreprocessAttributeContent;PreprocessAttributeGroup;PreprocessElement;PreprocessLocalElement;PreprocessElementContent;PreprocessIdentityConstraint;PreprocessSimpleType;PreprocessComplexType;PreprocessGroup;PreprocessNotation;PreprocessParticle;PreprocessAttributes;ValidateIdAttribute;ValidateNameAttribute;ValidateQNameAttribute;SetParent;PreprocessAnnotation;ResolveSchemaLocationUri;GetSchemaEntity,1048832,3072,33554902,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3351,System.Xml.Schema,XmlSchemaCollection,System.Xml.Schema.XmlSchemaCollection,14165,8,26207,18,collection;nameTable;schemaNames;wLock;timeout;isThreadSafe;validationEventHandler;xmlResolver,.ctor;get_Count;get_NameTable;set_XmlResolver;get_Item;System.Collections.IEnumerable.GetEnumerator;GetEnumerator;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.get_Count;GetSchemaInfo;GetSchemaNames;Add;Add;Add;get_EventHandler;set_EventHandler,1048833,3072,33554946,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3352,System.Xml.Schema,XmlSchemaCollectionNode,System.Xml.Schema.XmlSchemaCollectionNode,14173,3,26225,6,namespaceUri;schemaInfo;schema,set_NamespaceURI;get_SchemaInfo;set_SchemaInfo;get_Schema;set_Schema;.ctor,1048832,3072,33554947,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3353,System.Xml.Schema,XmlSchemaCollectionEnumerator,System.Xml.Schema.XmlSchemaCollectionEnumerator,14176,1,26231,7,enumerator,.ctor;System.Collections.IEnumerator.Reset;System.Collections.IEnumerator.MoveNext;MoveNext;System.Collections.IEnumerator.get_Current;get_Current;get_CurrentNode,1048833,3072,33554948,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3398,System.Xml.Schema,XmlSchemaObjectCollection,System.Xml.Schema.XmlSchemaObjectCollection,14318,1,26557,13,parent,.ctor;get_Item;set_Item;GetEnumerator;Add;Insert;Remove;OnInsert;OnSet;OnClear;OnRemove;Clone;Add,1048577,3072,33554993,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3402,,ValuesCollection,ValuesCollection,14328,2,26589,6,entries;size,.ctor;get_Count;get_SyncRoot;get_IsSynchronized;CopyTo;GetEnumerator,1048581,3072,33554998,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3657,System.Text.RegularExpressions,CaptureCollection,System.Text.RegularExpressions.CaptureCollection,15679,3,28278,31,_group;_capcount;_captures,get_IsReadOnly;get_Count;get_Item;GetEnumerator;System.Collections.Generic.IEnumerable<System.Text.RegularExpressions.Capture>.GetEnumerator;GetCapture;ForceInitialized;get_IsSynchronized;get_SyncRoot;CopyTo;CopyTo;System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.IndexOf;System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.Insert;System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.RemoveAt;System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.get_Item;System.Collections.Generic.IList<System.Text.RegularExpressions.Capture>.set_Item;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Capture>.Add;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Capture>.Clear;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Capture>.Contains;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Capture>.Remove;System.Collections.IList.Add;System.Collections.IList.Clear;System.Collections.IList.Contains;System.Collections.IList.IndexOf;System.Collections.IList.Insert;System.Collections.IList.get_IsFixedSize;System.Collections.IList.Remove;System.Collections.IList.RemoveAt;System.Collections.IList.get_Item;System.Collections.IList.set_Item;.ctor,1048577,3072,33554582,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3658,System.Text.RegularExpressions,CollectionDebuggerProxy`1,System.Text.RegularExpressions.CollectionDebuggerProxy`1,4294967295,0,4294967295,0,,,1048832,3072,33554584,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3661,System.Text.RegularExpressions,GroupCollection,System.Text.RegularExpressions.GroupCollection,15689,3,28319,33,_match;_captureMap;_groups,.ctor;get_IsReadOnly;get_Count;get_Item;get_Item;GetEnumerator;System.Collections.Generic.IEnumerable<System.Text.RegularExpressions.Group>.GetEnumerator;GetGroup;GetGroupImpl;get_IsSynchronized;get_SyncRoot;CopyTo;CopyTo;System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.IndexOf;System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.Insert;System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.RemoveAt;System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.get_Item;System.Collections.Generic.IList<System.Text.RegularExpressions.Group>.set_Item;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Group>.Add;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Group>.Clear;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Group>.Contains;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Group>.Remove;System.Collections.IList.Add;System.Collections.IList.Clear;System.Collections.IList.Contains;System.Collections.IList.IndexOf;System.Collections.IList.Insert;System.Collections.IList.get_IsFixedSize;System.Collections.IList.Remove;System.Collections.IList.RemoveAt;System.Collections.IList.get_Item;System.Collections.IList.set_Item;.ctor,1056769,3072,33554586,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3665,System.Text.RegularExpressions,MatchCollection,System.Text.RegularExpressions.MatchCollection,15705,8,28376,32,_regex;_matches;_done;_input;_beginning;_length;_startat;_prevlen,.ctor;get_IsReadOnly;get_Count;get_Item;GetEnumerator;System.Collections.Generic.IEnumerable<System.Text.RegularExpressions.Match>.GetEnumerator;GetMatch;EnsureInitialized;get_IsSynchronized;get_SyncRoot;CopyTo;CopyTo;System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.IndexOf;System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.Insert;System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.RemoveAt;System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.get_Item;System.Collections.Generic.IList<System.Text.RegularExpressions.Match>.set_Item;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Match>.Add;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Match>.Clear;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Match>.Contains;System.Collections.Generic.ICollection<System.Text.RegularExpressions.Match>.Remove;System.Collections.IList.Add;System.Collections.IList.Clear;System.Collections.IList.Contains;System.Collections.IList.IndexOf;System.Collections.IList.Insert;System.Collections.IList.get_IsFixedSize;System.Collections.IList.Remove;System.Collections.IList.RemoveAt;System.Collections.IList.get_Item;System.Collections.IList.set_Item;.ctor,1056769,3072,33554590,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3693,System.Diagnostics,SwitchLevelAttribute,System.Diagnostics.SwitchLevelAttribute,15953,1,28730,2,type,.ctor;set_SwitchLevelType,1048833,3072,33554619,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3699,System.Diagnostics,TraceLevel,System.Diagnostics.TraceLevel,15977,6,4294967295,0,value__;Off;Error;Warning;Info;Verbose,,257,3091,33554625,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3701,System.Diagnostics,TraceListenerCollection,System.Diagnostics.TraceListenerCollection,15989,1,28771,19,list,.ctor;get_Count;Add;Clear;GetEnumerator;InitializeListener;RemoveAt;System.Collections.IList.get_Item;System.Collections.IList.set_Item;System.Collections.IList.get_IsReadOnly;System.Collections.IList.get_IsFixedSize;System.Collections.IList.Add;System.Collections.IList.Contains;System.Collections.IList.IndexOf;System.Collections.IList.Insert;System.Collections.IList.Remove;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.CopyTo,1048577,3072,33554627,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3709,System.Diagnostics,ProcessModuleCollection,System.Diagnostics.ProcessModuleCollection,4294967295,0,4294967295,0,,,1048577,3072,33554635,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3710,System.Diagnostics,ProcessThreadCollection,System.Diagnostics.ProcessThreadCollection,4294967295,0,4294967295,0,,,1048577,3072,33554636,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3722,System.Security.Cryptography,OidCollection,System.Security.Cryptography.OidCollection,16100,1,28890,9,_list,.ctor;Add;get_Item;get_Count;GetEnumerator;System.Collections.IEnumerable.GetEnumerator;System.Collections.ICollection.CopyTo;get_IsSynchronized;get_SyncRoot,1048833,3072,33554648,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3743,System.Security.Cryptography.X509Certificates,X509Certificate2Collection,System.Security.Cryptography.X509Certificates.X509Certificate2Collection,16261,1,28974,10,newline_split,.ctor;.ctor;get_Item;Add;AddRange;Contains;GetKeyIdentifier;Find;GetEnumerator;.cctor,1048577,3080,33554669,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3749,System.Security.Cryptography.X509Certificates,X509CertificateCollection,System.Security.Cryptography.X509Certificates.X509CertificateCollection,4294967295,0,29040,6,,.ctor;.ctor;get_Item;AddRange;GetEnumerator;GetHashCode,1056769,3072,33554674,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3750,System.Security.Cryptography.X509Certificates,X509CertificateImplCollection,System.Security.Cryptography.X509Certificates.X509CertificateImplCollection,16270,1,29052,9,list,.ctor;.ctor;get_Count;get_Item;Add;Clone;Dispose;Dispose;Finalize,1048576,3076,33554676,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3753,System.Security.Cryptography.X509Certificates,X509ChainElementCollection,System.Security.Cryptography.X509Certificates.X509ChainElementCollection,16276,1,29082,11,_list,.ctor;get_Count;get_IsSynchronized;get_Item;get_SyncRoot;System.Collections.ICollection.CopyTo;GetEnumerator;System.Collections.IEnumerable.GetEnumerator;Add;Clear;Contains,1048833,3072,33554679,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3761,System.Security.Cryptography.X509Certificates,X509ExtensionCollection,System.Security.Cryptography.X509Certificates.X509ExtensionCollection,16308,2,29174,10,Empty;_list,.ctor;get_Count;get_IsSynchronized;get_SyncRoot;get_Item;Add;System.Collections.ICollection.CopyTo;GetEnumerator;System.Collections.IEnumerable.GetEnumerator;.cctor,1048833,3080,33554687,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3771,System.ComponentModel,ComponentCollection,System.ComponentModel.ComponentCollection,4294967295,0,29241,1,,get_Item,1048577,3072,33554697,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3790,System.ComponentModel,AttributeCollection,System.ComponentModel.AttributeCollection,16369,6,29305,13,Empty;s_defaultAttributes;_attributes;s_internalSyncObject;_foundAttributeTypes;_index,.ctor;get_Attributes;get_Count;get_Item;Contains;GetDefaultAttribute;GetEnumerator;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.get_Count;System.Collections.IEnumerable.GetEnumerator;CopyTo;.cctor,1048577,3080,33554715,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3796,System.ComponentModel,CollectionChangeAction,System.ComponentModel.CollectionChangeAction,16380,4,4294967295,0,value__;Add;Remove;Refresh,,257,3091,33554722,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3797,System.ComponentModel,CollectionChangeEventArgs,System.ComponentModel.CollectionChangeEventArgs,16384,2,29344,3,<Action>k__BackingField;<Element>k__BackingField,.ctor;get_Action;get_Element,1048577,3072,33554723,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3798,System.ComponentModel,CollectionChangeEventHandler,System.ComponentModel.CollectionChangeEventHandler,4294967295,0,29347,2,,.ctor;Invoke,257,3072,33554724,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3814,System.ComponentModel,EventDescriptorCollection,System.ComponentModel.EventDescriptorCollection,16404,8,29429,36,_events;_namedSort;_comparer;_eventsOwned;_needSort;_readOnly;Empty;<Count>k__BackingField,.ctor;.ctor;get_Count;set_Count;get_Item;get_Item;Add;Clear;Contains;System.Collections.ICollection.CopyTo;EnsureEventsOwned;EnsureSize;Find;IndexOf;Insert;Remove;RemoveAt;GetEnumerator;InternalSort;InternalSort;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.get_Count;System.Collections.IEnumerable.GetEnumerator;System.Collections.IList.get_Item;System.Collections.IList.set_Item;System.Collections.IList.Add;System.Collections.IList.Contains;System.Collections.IList.Clear;System.Collections.IList.IndexOf;System.Collections.IList.Insert;System.Collections.IList.Remove;System.Collections.IList.RemoveAt;System.Collections.IList.get_IsReadOnly;System.Collections.IList.get_IsFixedSize;.cctor,1048577,3080,33554739,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3837,System.ComponentModel,PropertyDescriptorCollection,System.ComponentModel.PropertyDescriptorCollection,16452,11,29594,47,Empty;_cachedFoundProperties;_cachedIgnoreCase;_properties;_namedSort;_comparer;_propsOwned;_needSort;_readOnly;_internalSyncObject;<Count>k__BackingField,.ctor;.ctor;get_Count;set_Count;get_Item;get_Item;Add;Clear;Contains;CopyTo;EnsurePropsOwned;EnsureSize;Find;IndexOf;Insert;Remove;RemoveAt;InternalSort;InternalSort;GetEnumerator;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.get_Count;System.Collections.IList.Clear;System.Collections.IDictionary.Clear;System.Collections.IEnumerable.GetEnumerator;System.Collections.IList.RemoveAt;System.Collections.IDictionary.Add;System.Collections.IDictionary.Contains;System.Collections.IDictionary.GetEnumerator;System.Collections.IDictionary.get_IsFixedSize;System.Collections.IDictionary.get_IsReadOnly;System.Collections.IDictionary.get_Item;System.Collections.IDictionary.set_Item;System.Collections.IDictionary.get_Keys;System.Collections.IDictionary.get_Values;System.Collections.IDictionary.Remove;System.Collections.IList.Add;System.Collections.IList.Contains;System.Collections.IList.IndexOf;System.Collections.IList.Insert;System.Collections.IList.get_IsReadOnly;System.Collections.IList.get_IsFixedSize;System.Collections.IList.Remove;System.Collections.IList.get_Item;System.Collections.IList.set_Item;.cctor,1048577,3080,33554762,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3855,System.ComponentModel,IChangeTracking,System.ComponentModel.IChangeTracking,4294967295,0,29720,2,,get_IsChanged;AcceptChanges,161,3072,33554781,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3856,System.ComponentModel,IRevertibleChangeTracking,System.ComponentModel.IRevertibleChangeTracking,4294967295,0,29722,1,,RejectChanges,161,3072,33554782,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3863,System.ComponentModel,CollectionConverter,System.ComponentModel.CollectionConverter,4294967295,0,29729,2,,ConvertTo;.ctor,1048577,3072,33554789,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3873,,StandardValuesCollection,StandardValuesCollection,16553,2,29876,9,values;valueArray,.ctor;get_Count;CopyTo;GetEnumerator;System.Collections.ICollection.get_Count;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.CopyTo;System.Collections.IEnumerable.GetEnumerator,1048578,3072,33554800,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3901,System.Collections,HashtableExtensions,System.Collections.HashtableExtensions,4294967295,0,30025,1,,TryGetValue,1048960,3072,33554827,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3902,System.Collections.Specialized,BitVector32,System.Collections.Specialized.BitVector32,16600,1,30026,8,_data,get_Item;set_Item;CreateMask;CreateMask;Equals;GetHashCode;ToString;ToString,1048841,3089,33554828,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3905,,NodeKeyValueCollection,NodeKeyValueCollection,16610,2,30059,6,_list;_isKeys,.ctor;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_Count;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.IEnumerable.GetEnumerator,1048579,3072,33554831,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3907,System.Collections.Specialized,ListDictionary,System.Collections.Specialized.ListDictionary,16601,5,30034,18,head;version;count;comparer;_syncRoot,.ctor;.ctor;get_Item;set_Item;get_Count;get_Keys;get_IsReadOnly;get_IsFixedSize;get_IsSynchronized;get_SyncRoot;get_Values;Add;Clear;Contains;CopyTo;GetEnumerator;System.Collections.IEnumerable.GetEnumerator;Remove,1056769,3072,33554829,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3908,System.Collections.Specialized,NameValueCollection,System.Collections.Specialized.NameValueCollection,16620,2,30070,19,_all;_allKeys,.ctor;.ctor;.ctor;InvalidateCachedArrays;GetAsOneString;GetAsStringArray;Add;Get;GetValues;Set;Remove;get_Item;set_Item;Get;GetValues;GetKey;get_Item;get_AllKeys;.ctor,1056769,3072,33554834,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3910,,OrderedDictionaryKeyValueCollection,OrderedDictionaryKeyValueCollection,16631,2,30122,6,_objects;_isKeys,.ctor;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_Count;System.Collections.ICollection.get_IsSynchronized;System.Collections.ICollection.get_SyncRoot;System.Collections.IEnumerable.GetEnumerator,1048579,3072,33554837,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3911,System.Collections.Specialized,OrderedDictionary,System.Collections.Specialized.OrderedDictionary,16622,7,30089,26,_objectsArray;_objectsTable;_initialCapacity;_comparer;_readOnly;_syncRoot;_siInfo,.ctor;.ctor;.ctor;.ctor;get_Count;System.Collections.IDictionary.get_IsFixedSize;get_IsReadOnly;System.Collections.ICollection.get_IsSynchronized;get_Keys;get_objectsArray;get_objectsTable;System.Collections.ICollection.get_SyncRoot;get_Item;set_Item;get_Values;Add;Clear;Contains;CopyTo;IndexOfKey;Remove;GetEnumerator;System.Collections.IEnumerable.GetEnumerator;GetObjectData;System.Runtime.Serialization.IDeserializationCallback.OnDeserialization;OnDeserialization,1056769,3072,33554835,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3912,System.Collections.Specialized,StringCollection,System.Collections.Specialized.StringCollection,16633,1,30128,25,data,get_Item;set_Item;get_Count;System.Collections.IList.get_IsReadOnly;System.Collections.IList.get_IsFixedSize;Add;Clear;Contains;CopyTo;IndexOf;Insert;get_IsSynchronized;Remove;RemoveAt;get_SyncRoot;System.Collections.IList.get_Item;System.Collections.IList.set_Item;System.Collections.IList.Add;System.Collections.IList.Contains;System.Collections.IList.IndexOf;System.Collections.IList.Insert;System.Collections.IList.Remove;System.Collections.ICollection.CopyTo;System.Collections.IEnumerable.GetEnumerator;.ctor,1056769,3072,33554838,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3913,System.Collections.Specialized,INotifyCollectionChanged,System.Collections.Specialized.INotifyCollectionChanged,4294967295,0,4294967295,0,,,161,3072,33554839,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3914,System.Collections.Specialized,NotifyCollectionChangedAction,System.Collections.Specialized.NotifyCollectionChangedAction,16634,6,4294967295,0,value__;Add;Remove;Replace;Move;Reset,,257,3091,33554840,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3915,System.Collections.Specialized,NotifyCollectionChangedEventArgs,System.Collections.Specialized.NotifyCollectionChangedEventArgs,16640,5,30153,8,_action;_newItems;_oldItems;_newStartingIndex;_oldStartingIndex,.ctor;.ctor;.ctor;.ctor;InitializeAddOrRemove;InitializeAdd;InitializeRemove;InitializeMoveOrReplace,1048577,3072,33554841,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3916,System.Collections.Specialized,NotifyCollectionChangedEventHandler,System.Collections.Specialized.NotifyCollectionChangedEventHandler,4294967295,0,30161,2,,.ctor;Invoke,257,3072,33554842,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3917,System.Collections.Specialized,ReadOnlyList,System.Collections.Specialized.ReadOnlyList,16645,1,30163,17,_list,.ctor;get_Count;get_IsReadOnly;get_IsFixedSize;get_IsSynchronized;get_Item;set_Item;get_SyncRoot;Add;Clear;Contains;CopyTo;GetEnumerator;IndexOf;Insert;Remove;RemoveAt,1048832,3072,33554843,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3920,System.Collections.Specialized,NameObjectCollectionBase,System.Collections.Specialized.NameObjectCollectionBase,16646,9,30180,24,_readOnly;_entriesArray;_keyComparer;_entriesTable;_nullKeyEntry;_serializationInfo;_version;_syncRoot;defaultComparer,.ctor;.ctor;.ctor;.ctor;.ctor;GetObjectData;OnDeserialization;Reset;Reset;FindEntry;get_IsReadOnly;BaseAdd;BaseRemove;BaseGet;BaseSet;BaseGet;BaseGetKey;GetEnumerator;get_Count;System.Collections.ICollection.CopyTo;System.Collections.ICollection.get_SyncRoot;System.Collections.ICollection.get_IsSynchronized;BaseGetAllKeys;.cctor,1056897,3080,33554844,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
3921,System.Collections.Specialized,CompatibleComparer,System.Collections.Specialized.CompatibleComparer,16660,4,30209,7,_comparer;defaultComparer;_hcp;defaultHashProvider,.ctor;Equals;GetHashCode;get_Comparer;get_HashCodeProvider;get_DefaultComparer;get_DefaultHashCodeProvider,1056768,3072,33554847,high,assets/bin/Data/Managed/Metadata/global-metadata.dat; Il2CppTypeDefinition v31 table
